Report Generated,9/27/2023,,,,,,,,
Document Group,ProjectA,,,,,,,,
Document,OWNERA-PROJECTA-TANK FARM-DAY43,,,,,,,,
Query Group,Pipe Totals,,,,,,,,
Query,Pipe - Totals,,,,,,,,
,,,,,,,,,
,,,,,,,,,
pointverge_export_row,sort_seq,nps,nps_dec,strength,schedule,total_ft,total_pieces,description,db_code
1,100,1,1,XS,80,1026.1667,46,"PIPE, TE, SCH 80, ASTM A106 GR B, SMLS",PIP1004B0110-06
2,100,2,2,XS,80,126,38,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS",PIP1004A0110-09
3,100,2,2,XS,80,43.25,6,"PIPE, TE, SCH 80, ASTM A106 GR B, SMLS",PIP1004B0110-09
4,100,3,3,STD,40,546.4167,38,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-11
5,100,4,4,STD,40,109.1667,16,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-13
6,100,6,6,STD,40,299.7083,28,"PIPE, BE, SCH 40, ASTM A106 GR B, SMLS",PIP1004A0108-15
7,100,6,6,STD,40,219.5,28,"PIPE, BE, STD, ASTM A106 GR B, SMLS",PIP1004A0103-15
8,100,6,6,STD,40,5.4167,2,"PIPE, BE, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004A0103-15
9,100,6,6,XS,80,93.25,14,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS",PIP1004A0110-15
10,100,8,8,STD,40,40.3333,2,"PIPE, BE, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004A0103-16
11,100,8,8,XS,80,272.9583,8,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS",PIP1004A0110-16
12,100,8,8,XS,80,645.1667,52,"PIPE, BE, SCH 80, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004A0110-16
13,184,2,2,XS,80,143.4583,10,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",-9
14,184,2,2,XS,80,117.625,20,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",PIP1004M01-09
15,184,3,3,STD,40,173.2917,20,"PIPE, GROOVED END, SCH 40, ASTM A106 GR B, SMLS",-11
16,184,3,3,STD,40,40,6,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS",-11
17,184,3,3,STD,40,27.875,4,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",-11
18,184,3,3,STD,40,166.4583,12,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004M01D-11
19,184,3,3,XS,80,238.7083,26,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",-11
20,184,3,3,XS,80,237.0417,14,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",PIP1004M01-11
21,184,3,3,XS,80,35.5833,4,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",-11
22,184,4,4,STD,40,16.0417,6,"PIPE, GROOVED END, SCH 40, ASTM A106 GR B, SMLS",-13
23,184,4,4,STD,40,113.625,6,"PIPE, GROOVED END, SCH 40, ASTM A106 GR B, SMLS",PIP1004M01-13
24,184,4,4,STD,40,44.5,12,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",-13
25,184,4,4,STD,40,164.25,20,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",PIP1004M01D-13
26,184,4,4,XS,80,212.7083,14,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",-13
27,184,4,4,XS,80,20.7917,10,"PIPE, GROOVED END, SCH 80, ASTM A106 GR B, SMLS",PIP1004M01-13
28,184,6,6,STD,40,473.75,40,"PIPE, GROOVED END, SCH 40, ASTM A106 GR B, SMLS",-15
29,184,6,6,STD,40,51.625,2,"PIPE, GROOVED END, SCH 40, ASTM A106 GR B, SMLS",PIP1004M01-15
30,184,6,6,STD,40,42.125,6,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS",-15
31,184,6,6,STD,40,40.75,6,"PIPE, GROOVED END, STD, ASTM A106 GR B, SMLS, INTERNAL POLY COATING",-15
